Genre,Cleaned_Plot
action,"mitti is a film about punjabs youth today and their political disputes its a story about four youth who are best of friends and how their life changes after an incident takes place
jeet brar who is a farmer and a local kisaan leader represents the motivated and charged group of people but on the other hand there is the young blood of punjab who is unaware about the danger their state is facing and these young people do not have any mission in their life most of them want to become a singer or want to go to foreign and some are behind to find the way how to make fast money and some of them are slaves to the corrupt politicians of the state such type of young group of people represent the four central characters of the film namely rabbi sidhu gaazi dhillon lalli brar and tunda all these four youngsters work for the corrupt politician sardar harmail singh they are prone to alcohol and are walking on the way of crime they are not all concerned about their future and about themselves among them laali brar is the brother of jeet brar but laali is not at all ready to listen to his brother beside this there is a character of a girl called neeru daughter of sharma nri who has also studied with these guys in university and gaazi loves neeru but neeru loves rabbi and this love triangle of these three creates problem within the friendship of rabbi and gaazi and among all the father of neeru does not agree her daughter to talk to these criminals from here a different angle comes to the life of these characters and the fourth character tunda is from very poor family but his friends never let him realize that he is from poor family tundas father always scolded him that he will get nothing being with these rich people he will have to work one day but he never listened to his father
among all this scenario there is a character of journalist called sarabjit who just wants to show the truth of the people of state and wants to expose the corrupt leader sardar harmail singh he also manages to make the mms of sardar but with the help of these four guys sardar manages to take back the cd  dv from journalist sarabjit while doing so all the four friends kill journalist accidentally
the film revolves around the current scenario of punjab and its problems"
drama,"disillusioned world war i flying ace roger shumann robert stack spends his days during the great depression making appearances as a barnstorming pilot at rural airshows with his parachutist wife laverne dorothy malone and worshipful son jack chris olsen and mechanic jiggs jack carson in tow
new orleans reporter burke devlin rock hudson is intrigued by the gypsylike lifestyle of the former war hero but is dismayed by his cavalier treatment of his family and soon finds himself attracted to the neglected laverne meanwhile roger barters with wealthy and aging business magnate matt ord robert middleton for a plane in exchange for a few hours with his wife tragedy ensues when jiggs anger about his employers refusal to face family responsibilities causes him to make a rash and fatal decision he manages to start shumanns aircraft with some difficulty but the plane crashes and shumann is killed after rejecting and then reconciling with devlin laverne returns to iowa with son jack"
horror,"robert kraft boone is the newly appointed chairman of a committee that oversees a large cemetery the cemetery caretaker andy mackee bikel keeps a map in the cemetery office displaying the grounds and each gravesite filled graves are marked by black pins and unoccupied but sold graves are marked with white pins new to the position and unobservant kraft accidentally places a pair of black pins where they dont belong only to discover later that the young couple who had bought the grave sites in question died in an automobile accident soon afterwards he believes that he marked them for death
hoping it will give him peace of mind robert replaces a random white pin with a black pin when that person dies later in the week however he becomes increasingly convinced that either he or the map wield some kind of dark power repeated experiments undertaken upon the insistence of skeptical friends and coworkers yield the same result kraft slips into deep guilt and depression and believes he is cursed
the police who are initially skeptical eventually begin to take notice and in the hopes that it will reveal the cause of the deaths ask robert to place a black pin on the grave of a person who is known to be in france although he does so robert continues his slide into despair that same night he decides that if black pins give him the power of death white pins might give him the power of life he replaces all of the recently placed black pins with white pins when he goes to the associated grave sites later that night he discovers that they have all been dug up with the bodies gone
upon returning to the cemetery office robert receives a call informing him of the death of the man in france as he hangs up the phone the cemetery caretaker comes up behind him covered in dirt he reveals that he has been killing all of the marked people as revenge for being forced to retire however when robert informs him of the passing of the man in france the caretaker who couldnt have killed the man begins to lose his mind when the police arrive they find the caretaker dead and tell robert that the news of the mans death was all a ruse to flush out the cemetery caretaker"
drama,sekar a thief taking refuge by working on a farm falls in love with anjali a local girl when anjalis parents discover that he is a thief they discourage her from continuing the relationship anjali ignores her parents advice and continues making plans to elope with him while sekars parents make arrangements for the young couple to marry sekar continues his criminal activities on the night before sekar and anjalis marriage sekars criminal cronies intoxicate him in order to sell anjali into slavery sekar looks for anjali eventually finding the place where she was sold and kills a woman working in the slavery business meanwhile anjali is injured by slave traders as she is thrown from a car when the drivers learn of the womans murder by sekar while hospitalized anjali is killed by her father who fears unwanted media attention sekar reaches the hospital and learns about the death of anjalicitation needed
drama,"the unnamed mademoiselle brody helps her aunt to run a restaurant in armentières british soldier johnny stuart has fallen in love with her and she shows signs of reciprocation the local liaison officer asks mademoiselle whether she can find out anything about a customer named branz who has aroused suspicion by working her charms on him to gain his confidence she discovers that he is a german spy mademoiselle has to keep her mission secret to avoid giving away her real motives however johnny misinterprets the attention she pays to brandt assuming her to be fickle
johnny is summoned to the fighting line before mademoiselle can explain herself once she has fulfilled her mission she goes in search of johnny to put him in the picture she finds his regiment in a captured german trench with johnny wounded then the trench is recaptured by the germans with branz in tow things look bleak until the british forces counterattack and once again take the trench killing branz in the process mademoiselle and johnny are trapped when the trench wall collapses but manage to extricate themselves and look forward to their future together"
comedy,"tina marion davies is the drudge of the red mill tavern in holland she works hard and long hours with her only company being a mouse named ignatz willem george siegmann is the mean tavern proprietor who catches her feeding the mouse he is outraged and scares away the mouse and takes it out on tina
dennis wheat owen moore is a foreigner who came to the netherlands for the damsels he was accompanied by his valet caesar rinkle snitz edwards one day tina notices and immediately falls in love with him she sneaks out of the tavern to be closer to him and hears him saying he will judge an ice skating race the winner of the race will be kissed by him
tina decides to enter and wins when dennis is about to kiss her willem storms out and takes tina with him she later finds out dennis is leaving town and becomes sad tina goes back to her hard working days and fantasizes about dennis returning dennis returns in the spring and takes an interest in the burgomasters daughter gretchen louise fazenda who is about to marry the governor william orlamond but actually is in love with captain jacop van goop karl dane
jacop sends gretchen a letter begging her to elope with him at night gretchen has to cross her overprotecting father if she wants to leave the house and does not think there is any chance she will be able to leave the house tina however helps her escape successfully by dressing up like her and gretchen dressing up like tina after gretchen has left dennis sneaks into the house to meet the woman he noticed he kisses tina thinking it is gretchen
gretchen goes back home when she is scared after tinas mouse ran into her shoe meanwhile caesar overhears someone saying gretchen will inherit her grandfathers estate the day she marries and immediately informs dennis jacop climbs on a ladder leading to gretchens room to reunite with her dennis sees this and thinks jacop is kissing the same girl he kissed he is mad and throws a stone to him making him fall off his ladder through the window of the tavern
tina comes up still dressed up as gretchen and tells dennis jacop was a relative and it was only a formal kiss she promises to elope with him in the morning the next day gretchen is forced to marry the governor she begs tina to save her before she leaves with her father tina eventually scares everyone away with her mouse and sneaks off with gretchen gretchen is soon reunited with jacop but tina is left being chased by both the wedding guests and the burgomaster
willem finds her hiding in the tavern and locks her up in a mill which is rumored to be haunted by ghosts tina is scared but dennis comes after her and protects himself with a gun an accident causes him to shoot tina in the back they kiss and are happy but find out willem is after them with a shotgun dennis and tina escape through a window and can now finally love each other carefree"
drama,"jack burden a louisiana news reporter takes a personal interest in willie stark an idealistic smalltown lawyer and parish treasurer circumstances develop that result in tiny duffy a local political leader burden knows urging stark to run for governor burdens upbringing makes him familiar with the undercurrent of politics  he was raised by his loving godfather judge irwin a former state attorney general while his good friend dr adam stanton and his sister anne stanton  also burdens former lover  are the children of a former governor burden therefore decides to take duffys advice and travels as a reporter on starks campaign for governor
the politically astute burden soon deduces and duffy strategist and stark mistress sadie burke confirms that duffy is using stark to split his partys vote and thus allow the opposing party to win they tell stark who begins to give speeches in a straightforward manner to appeal to the public in defiance of the advice given to him by duffy his vigorous strategy attacks the corruption of the existing players and promises schools and roads for his fellow ignorant hicks resulting in stark winning the election he manages duffy by making him his lieutenant governor stark recruits burden to work for him as an adviser
stark proves to be a very persuasive governor delivering on many of his new projects irwin disapproves of stark and publicly supports an investigation of possible graft in the new spending burden points out that graft is the elites word for what the previous politicians had always done while stark openly tells his crowds that his crooks unlike theirs are itty bitty compared to the elites stark convinces stanton to head a new public hospital while he begins having an affair with anne provoking burkes jealousy and burdens disappointment
irwin continues criticizing stark as political controversies begin to unfold stark demands that burden seek information on the judge to be used against him jack insists that there is no such information but eventually discovers evidence of a bribe that irwin used to get his appointment many years prior leading an opponent to commit suicide following this revelation irwin himself commits suicide burdens mother then tells him that irwin treated him with such love because he was his biological father which causes a great amount of guilt for burden
stark utilizes many methods of corruption to consolidate his power including patronage and intimidation adam is told that stark is using the hospital project to rob the state and is framing him in the process burden and anne both assure adam that this is false adam also becomes enraged when he learns of starks affair with his sister adam waits at the state capitol and assassinates stark only to be immediately killed by the governors bodyguard it is later revealed that adam was influenced by duffy and burke to murder stark allowing duffy to succeed stark as governor"
horror,"in the town of darkness falls widow matilda dixon was adored by the towns children she gave them gifts and gold coins when they lost teeth earning her the nickname tooth fairy a fire in her home left her face disfigured and sensitive to light she wore a white porcelain mask and only left her house at night the towns adults were suspicious of matilda they blamed her when two children went missing they hanged her and exposed her face to light dying matilda swore vengeance when the two missing children returned home unharmed the townsfolk realized their mistake and quickly buried matildas body over the next  years the story of matilda the tooth fairy became a legend her dark spirit visits children on the night they lose their last baby tooth if anyone sees her when she visits they are marked for her vengeance
kyle walsh an antisocial teenager befriended by caitlin greene emily browning loses his last baby tooth that night he sees matilda and realizes the story is true knowing light is her weakness he shines a flashlight into her face and hides in the brightlylit bathroom his mother is killed after seeing matilda the next morning police arrive and kyle is taken to a mental hospital after mistaken speculations that he killed his mother
twelve years later caitlin emma caulfield telephones kyle chaney kley to ask for his help with her younger brother michael lee cormie who refuses to sleep in the dark kyle still suffers fear and paranoia from his encounter with matilda he has dozens of flashlights and medications for anxiety and depression kyle visits michael at the hospital but denies any relation to his condition and walks away from caitlin who believes his story
kyle tries to warn others of matilda but faces ridicule and skepticism which leads to the death of many townspeople a lightning storm blacks out the whole town realizing michael and caitlin are in danger kyle rushes to the hospital he rescues them and gains allies as others realize his story is true kyle michael and caitlin hide in the local lighthouse they are helped by several medical personnel all of whom are killed by matilda
during the struggle matilda tries to kill kyle but before she can do so the lighthouse lights up the sudden exposure to light causes her pain she drops her mask kyle sees her disfigured face and realizes she is now vulnerable she resumes her attack during which kyles right sleeve catches fire and he kills matilda by striking her face with it
as the film ends a boy is being tucked into bed by his parents he is scared because he has just lost his last baby tooth he finds his mother replaced the tooth with a gold coin showing that matilda and her curse are gone"
horror,"cotton weary now living in los angeles and the host of a nationally syndicated television show  cotton is called by ghostface who demands the whereabouts of sidney prescott who has gone into hiding in the aftermath of the windsor college murders cotton refuses to cooperate and when ghostface comes to his home cotton and his girlfriend christine are murdered
detective mark kincaid contacts gale weathers to discuss the murders prompting her to travel to hollywood where she finds dewey riley working as an adviser on the set of stab  the third film in the film within a film series based on the ghostface murders using a voice changer as a ruse ghostface kills stab  actress sarah darling meanwhile sidney haunted by the endless string of brutal murders is now living in seclusion as a crisis counselor for an abused womens hotline fearing that another killer may strike having discovered sidneys number the killer begins taunting her by phone forcing her out of hiding and drawing her to hollywood as the remaining stab  cast along with dewey and gale gather at the home of jennifer jolie ghostface murders her bodyguard and uses a gas leak to cause an explosion killing fellow actor tom prinze in the process
martha meeks the sister of sidneys friend randy who was murdered in the previous film visits sidney and the others to drop off a videotape that randy had made before his death posthumously warning them that the rules of a horror film franchise in the third and final film do not apply to anyone and that any of them including the main character sidney could die
dewey gale jennifer and the remaining stab  cast angelina and tyson attend a birthday party for stab s director roman bridger where ghostface strikes gale discovers romans seemingly dead body in the basement angelina refusing to stick with gale and jennifer wanders off alone before she is murdered tyson attempts to fight ghostface but the killer manages to wound him before throwing him off a balcony to his death jennifer tries to escape through a secret passage but ghostface kills her the killer then orders sidney to the mansion to save gale and dewey who are being held hostage when she arrives ghostface forces sidney to remove her firearm and lures her inside as gale and dewey are bound and gagged with duct tape as sidney is untying gale and dewey ghostface appears though sidney gains the upper hand using a second hidden gun to fight off ghostface detective kincaid shows up but is knocked unconscious by ghostface
sidney flees and hides in a secret screening room where she encounters ghostface he reveals himself as roman having faked his death and survived being shot due to a bulletproof vest roman admits to being sidneys halfbrother born to their mother maureen prescott when she was an actress in hollywood years ago he had unsuccessfully tried reuniting with her bitter over the rejection roman would film all the men she philandered with he showed billy loomis the footage of his father with maureen which motivated him to kill her thus setting off the events in scream and scream  however when he discovered how much fame sidney had attracted due to those events roman snapped and lured sidney out of hiding
roman then tells sidney of his plan to frame her for the murders before killing stab producer john milton sidney angrily tells roman that he is responsible for all of the events that have occurred a fight ensues between sidney and roman ending when roman shoots sidney in the chest seemingly killing her while preparing for gale and dewey to arrive sidney disappears giving her the upper hand to stab roman in the back as he slowly dies sidney shows him that she too was wearing a bulletproof vest she then plunges romans knife into his chest apparently killing him dewey and gale arrive before roman recovers only for dewey to finally kill him
sometime after at sidneys house dewey proposes to gale who accepts sidney returns from a walk with her dog and leaves her gates which were previously shown to be alarmed open she enters her home and is invited to join dewey gale and detective kincaid to watch a movie as she goes to join the others her front door blows open behind her but after hesitating for a moment she walks away leaving it as is finally confident that the murders have ended and she is now safe"
drama,naomi iverson learns that her father has assumed the blame for engaging in an illegal stock pool and is to be sentenced by the federal government to  years in prison in return iverson will receive a check for  million from john hardin his former partner and now his bitterest enemy she appropriates the check and goes to hardins yacht hoping to recover the written confession there she meets and falls in love with hardins son ernest complications set in when iverson arrives and is set adrift by tony leader of a gang of rumrunners tony who covets naomi gets involved in a fight with ernest tony corners her but she is rescued by ernest the revenue officers seize the rum boat and arrest the two old men as bootleggers when naomi and ernest confront their fathers with their love the fathers bow to necessity and once again become friends
comedy,after retrieving a mysterious parcel for his exwife eccentric downonhisluck artist harry berg keaton enlists the help of private eye rachel dobs chong when he suddenly becomes embroiled with thugs and a murder investigation the combination of harrys many comic eccentricities and rachels straightandnarrow naive personality ends up working in their favor to help solve the crime
comedy,set in a gay bathhouse in manhattan where unsuspecting heterosexual cleveland businessman gaetano proclo has taken refuge from his homicidal mobster brotherinlaw carmine vespucci there gaetano stumbles across an assortment of oddball characters including a rabid chubby chaser gogo boys a squeakyvoiced detective and googie gomez a thirdrate puerto rican entertainer with visions of broadway glory who mistakes him for a famous producer and whom he mistakes for a man in drag further complications arise when gaetanos wife vivian tracks him down and jumps to all the wrong conclusions about his sexual orientation
horror,"the police use serial killer uragami to identify parasites among humans as he has a special ability to detect them however he is unable to correctly identify shinichi izumi a few months after the events of the previous film shinichi continues to track down and kill the parasites who terrorize the human world for food with help from migi the parasite that infects his right hand he learns that he is being tracked by shiro kuramori a reporter hired by parasite ryoko tamiya shiro discovers the truth about migi and plans to expose shinichi shinichi tells shiro that tamiya is a parasite and urges him to stop getting involved for the sake of his safety tamiya meanwhile has given birth to her human son and slowly learns how to become a mother growing furiously protective of her baby and killing her fellow parasites when they threaten him
despite shinichis warning kuramori goes on to record his conversation with mayor takeshi hirokawa who secretly heads an organization composed of parasites hirokawa orders the parasites to kill kuramori but they are only successful in killing his daughter swearing revenge kuramori kidnaps tamiyas son and calls her to a park so she can see him kill the baby despite tamiya and shinichis attempts to convince him otherwise kuramori almost goes through with his plan resulting in his death at tamiyas hands when tamiya then approaches shinichi the police fatally shoot her instead of defending herself tamiya protects her child explaining to shinichi that she now knows what it is to be human she hands her son over to shinichi before dying reminding shinichi of his own mother
at the same time a secret service team evacuates the town hall upon discovering hirokawas true alignment they are able to kill nearly all of the parasites as well as hirokawa himself who turns out to be a human who supports parasites and distrusts humans the remaining parasite goto turns out to be too powerful for the team as his body contains five parasites he massacres the team and begins his pursuit of shinichi cornered at a forest migi sacrifices himself to allow shinichi to escape
shinichi mourns migi and is comforted by his girlfriend satomi murano the next morning shinichi discovers that a part of migi is still in his right hand thanks to his body being infected with migis cells in the previous film he lures goto to a disposal facility and is able to fatally injure him at first reluctant in killing him shinichi ultimately decides that he wants to protect his loved ones and finishes goto off back home migi tells a dismayed shinichi that since the parasites have died down he will now go into hibernation to achieve an evolution presumably up to the point where the two will never see each other again breaking shinichis heart
a few years later shinichi and satomi visit the now toddler son of tamiya who is named taiki tamiya afterward uragami appears kidnaps satomi and takes her to a roof he states his belief that humans are the real monsters and asks for shinichis opinion since he is certain that shinichi is a parasite however with satomis encouragement shinichi defies uragamis opinion and successfully saves satomi with help from migi who had momentarily awakened from his dormant state to help him"
action,"on the last day of british rule in hong kong late  detective inspector lee of the hong kong police force leads a raid at a shipping bar wharf hoping to arrest the mysterious crime lord juntao he finds only sang juntaos righthand man who manages to escape however lee successfully recovers numerous chinese cultural treasures stolen by juntao which he presents as a farewell victory to his departing superiors chinese consul solon han and british commander thomas griffin
shortly after han arrives in the united states to take up his new diplomatic post in los angeles his daughter soo yung is kidnapped by sang while on her way to her first day of school the fbi informs consul han about the incident han calls in lee to assist in the case the fbi is afraid that the injury or death of lee would result in negative attention internationally decide to pawn him off on the lapd just to keep him out of their way the selfish stubborn and maverick detective james carter is tricked into doing this but carter makes a plan to solve the case himself when he finds out that he has been given a boring task as punishment for botching a sting operation
carter meets lee at los angeles international airport and proceeds to take him on a sightseeing tour of la simultaneously keeping lee away from the embassy and contacting several of his underworld informants about the kidnapping lee finally escapes and makes his way to the chinese consulate where a nervous han and a group of fbi agents are awaiting news about his daughter while arguing with agentincharge warren russ carter accidentally involves himself in a phone conversation with sang where he arranges a ransom drop of  million in a couple of hours
the fbi traces the call to a warehouse and sends in a team of agents only to have them killed by a bomb spotting sang nearby lee and carter give chase but sang escapes dropping the detonator in the process carters colleague lapd bomb expert tania johnson helps them trace the detonator to clive a man previously arrested by carter clive is guilttripped by lee into revealing his business relationship with juntao whom he met a restaurant in chinatown and this earns carters trust in lee carter goes to the restaurant alone where he sees a surveillance video of juntao carrying sooyung into a van lee arrives and saves carters life but the two are taken off the case after the fbi blames them for ruining the ransom drop angered at the accusation carter tries to talk some sense into the agents by claiming that he and lee suspected another trap from juntaos syndicate and that han was going to lose his daughter anyway if they had gone through with the ransom drop the fbi agents remove him to face proper punishment from his captain in the lapd while lee is being sent back to hong kong by han despite this setback carter appeals to johnson for assistance and sneaks onboard lees plane persuading lee to help finish the case and stop juntao griffin later involves himself in the case revealing more about the hkpfs past with juntaos syndicate
at the opening of a chinese art exhibition at the los angeles convention center which han and griffin are overseeing the now  million ransom is being delivered carter lee and johnson enter disguised as guests where carter distracts the guests into leaving for safety this angers the fbi but also blows griffins cover as lee catches him walking over to a bar and accepting a remote for the detonator from sang he and johnson both conclude that griffin is juntao because carter recognizes him from a surveillance tape in chinatown griffin threatens to detonate a bomb vest attached to soo yung and demands the money be paid in full in compensation to the loss of the priceless chinese artifacts he worked so hard to preserve however carter manages to sneak out locate her in the van drives it into the building and brings her within range of griffin knowing that setting it off would kill him as well
johnson manages to get the vest off soo yung while griffin heads toward the roof with the bag of money lee takes the vest and pursues griffin while carter coldly shoots sang dead in an intense gunfight lee eventually catches up to griffin resulting in a brief altercation that culminates in the two dangling from the rafters under the roof griffin holding onto the vest falls to his death when the vest breaks but before lee falls carter is able to place a large flag underneath and catch him safely
han and soo yung are reunited and han sends carter and lee on vacation together to hong kong as a reward for their actions before carter leaves agents russ and whitney offer him a position in the fbi which he arrogantly refuses in revenge for how they treated him and lee carter gets on the airplane with lee who starts singing edwin starrs war angering carter"
horror,"dinesh dubey zakir hussain who is a worker in school comes to a house which has the haunted tree he dies on the way by undead ghosts the story then moves around a couple virag rao j d chakravarthy and jhilmil rao sushmita sen buying a new home in the suburbs of mumbai where dinesh dubey died jhilmil a gynacologist works late just like her husband virag  theyre hardly there for their little son the problem comes when he starts making imaginary friends at least thats what jhilmil and virag think but their son starts getting obsessed with his friends the undeads manish and jyothi dinesh dubey undead bad aunty
rukma rasika joshi joins jhilmils house as a new maid rukma also comes to know about manish and jyothi where she tells to rohan while giving milk to him later rukma is hurt by manishs ball and rukma misunderstands thinking that rohan threw the ball purposely it is also revealed that rukma is a thief who hides her bad thoughts she is killed by the ghosts jhilmil is worried and tries finding out why all of this is happening jhilmils sister radhika peeya rai chowdhary invites her boyfriend murli purab kohli when her sister her husbandand her son rohan go to watch an animated movie radhika is naked and having sex with murli when he suddenly vanishes radhika thinks that murli is playing a kinky game of hide and seek she unfurls a towel hoping that being naked would cause murli to forget his game and come to her however she sees something else and gets horrified when jhilmil comes home she finds murlis mutilated dead body in radhikas bed and finds her sister outside hanging dead from the tree
jhilmil gets a lot of words from a mad man rajpal yadav it is revealed that rohans imaginary friends are ghosts who have been telling their son to move out of their house virag also dies and becomes undead and tries to kill jhilmil and rohan inspector bhupal gorpade sayaji shinde who comes to help jhilmil also dies bhupal also becomes undead and chases jhilmil somehow jhilmil crashes her car in the banyan tree and comes out the car explodes burning the banyan tree vanquishing the evil spirits then jhilmil is admitted to the hospital with rohan at jhilmils house the mad man becomes happy seeing the tree has been burned he urinates on the tree it turns out the spirits were not put to rest the ghost grabs his neck effectively killing him back at the hospital the doctor advises jhilmil to take care the film closes with rohans eyes turning black similar to manishes eyes indicating that they are not free from the malevolent entity"
drama,"leda mueller seeks refuge in the united states claiming to be the wife of jerry seabrook a missing world war ii combat pilot a sympathetic colonel requires proof whereupon a priest vouches for ledas marriage and also tells the colonel she is expecting a baby
the colonel has knowledge that jerry is alive so leda explains how they jerry a crash landing led to his taking refuge in an empty apartment that turned out to be hers his copilot biff is seriously injured and by the time leda can help find him he is dead
hans welton a german jealous over ledas interest in the american pilot takes up with her best friend helena and recruits her to find out anything she can about jerrys wartime activities as intrigue builds it turns out that jerry is being courtmartialed and charged with the murder of hans in a courtroom the circumstances of the germans death are explained and jerry then rushes to the side of leda who has given birth prematurely and near death"
comedy,"in a small florida tourist town named ticlaw the mayorpreacher kirby t calo william devane also operates a hotel and tiny wildlife safari park the towns major draw is a waterskiing elephant named bubbles
when the state highway commission builds a freeway adjacent to the town calo slips an official  to assure an off ramp the ramp doesnt come so the townsfolk literally paint the town pink to attract visitors
meanwhile tourists from various parts of the united states shown in a series of concurrent ongoing vignettes are heading to florida and will all end up in ticlaw one way or another they include a pair of bank robbers from new york george dzundza joe grifasi who pick up a cocainedealing hitchhiker daniel stern a chicago copy machine repairman beau bridges who picks up a waitress beverly dangelo who is carrying her deceased mothers ashes to florida a dentist and his dysfunctonal family howard hesseman teri garr peter billingsley and jenn thompson vacationing crosscountry in their rv an elderly woman jessica tandy with a drinking problem and her loving husband hume cronyn who are heading to florida to retire two nuns mother superior geraldine page novice nun deborah rush and a wannabe country songwriter paul jabara hauling a playful rhino and other wild animals to ticlaw"
horror,"a young doctor named larry forbes shepperd strudwick arrives in a french village in order to wed the niece of prominent local doctor dr renault george zucco dr forbes learns from the innkeeper that a storm has washed out the bridge to renaults house and he ends up spending the night at the inn there he meets most of the films main characters including dr renaults strangely deformed man servant noel j carrol naish it is during the night that the first of the murders occurs another tourist takes the room meant for him and is killed mysteriously
the next day forbes travels to the house of dr renault where he is reunited with renaults pretty young niece madeline lynne roberts a sequence of strange events including an incident in which noel is viciously attacked by a stray dog that madeline picked up convince forbes that there is something unusual about noel but he does not know what it is also it quickly becomes clear that noel is interested in madeline as well
after madelines stray dog is killed renault confronts noel and it is revealed that his man servant is actually an experiment  an animal given the physical and mental characteristics of a man fearing for forbes life as well as his own renault locks noel in a cage but the former animal is able to use his strength to escape and follows forbes and madeline to a carnival there he is heckled by a pair of villagers who are promptly murdered in their homes
forbes suspicions increase and he sneaks into dr renaults laboratory there he finds a book detailing the experiments dr renault carried out to transform noel from an ape into a man renault catches forbes reading his notes and threatens to kill him if he reveals the truth to anyone but noel sneaks up on the both of them and attacks dr renault in the closing sequence madeline is abducted by her gardener an exconvict named rogell mike mazurki and noel pursues them after a lengthy chase rogell shoots noel before succumbing to his wounds noel strangles rogell"
drama,naagulu chiranjeevi a snake charmer falls in love with menaka whose adopted brother raju narasimha raju is in love with naagulus cousin laxmi rati agnihotri naagulus father has been feeding mixing snake poison in his food since childhood making naagulu immune to any snake bite every full moon naagulu behaves like a cobra and searches for a woman and every woman he meets dies from his poison on one such full moon he kills menaka and raju gets suspicious about this as there are no marks of a snake bite on her body a young teacher comes to the village and becomes naagulus victim raju investigates with the help of film in her still camera and discovers that naagulu has become a snake naagulus father reveals his secret before dying and naagulu tries to find a remedy but its too late for that his skin starts peeling off like a snake and raju advises him to leave the village before villagers find and kill him naagulu prefers death to the life of a snake and commits suicide from a hilltop
