Genre,Plot
action,"In 2012, the collapse of the US economy and the subsequent increase in crime rates leads to the rise of privatized prisons. One such prison is Terminal Island Penitentiary, whose warden, Claire Hennessey, earns her profits by broadcasting a modern gladiator game participated in by the prisoners. In the game ""Death Race"", the racers, along with their navigators, compete in a three-part race over three days on a closed track. The track is littered with pressure plates that activate either the cars' offensive weapons, defensive equipment or deadly traps. Any racer winning five races will be granted freedom.
Towards the end of one race, a masked driver nicknamed Frankenstein is nearing the finish line, pursued by his rival Machine Gun Joe. His navigator, Case, reports that all his defensive equipment have malfunctioned. Against her protest, Frankenstein refuses to let Joe finish first. Case ejects herself out of the car just before Joe destroys it.
Industrial worker, ex-con and former NASCAR driver Jensen Ames struggles to support his family. When the steel mill he works at is closed, he and his fellow angry workers are attacked by the arriving riot police, forcing them to fight back. He returns home to his wife and their new-born daughter, Piper. A masked assailant knocks him unconscious. Jensen wakes up with a bloodied knife in hand, and his wife lies dead nearby, just before policemen storm into his home. He is arrested and sentenced to life imprisonment, while Piper is placed in foster care.
Six months later, Jensen is transferred to Terminal Island Prison. He immediately gets into a fight with Pachenko and his Aryan Brotherhood gang. Hennessey's right-hand man Ulrich calls Jensen to her office. She tells him that Frankenstein died from his injuries after the previous race, and offers to let Jensen go free if he impersonates Frankenstein to win one more race (as Frankenstein had already won four). Jensen accepts the offer and meets Frankenstein's maintenance crew consisting of Coach, Gunner, and Lists, who explains the main reason she needs Jensen is that the profits and audience of ""Death Race"" has halved since Frankenstein's ""disappearance"".
On Day 1, Jensen meets his navigator Case. Jensen's defensive equipment again mysteriously malfunctions. Under attack by Travis Colt, one of the other competitors, Jensen improvises and spills napalm over Colt's car, and has Case ignite it with the cigarette lighter. Colt's car is then run into by Machine Gun Joe's. When Jensen sees Pachenko doing the same hand gesture as the masked assailant (making Jensen realize it was Pachenko that killed his wife), he is distracted and is hit by Joe, coming in last place. Day 1 ends with three racers dead (Siad, Grimm, and Colt) and six remaining. After a conversation with Hennessey and another fight with Pachenko, Jensen deduces that Hennessey ordered Pachenko to frame Jensen, so she can have a replacement for Frankenstein.
On Day 2, Jensen confronts Case about the malfunctions. Case admits she sabotaged Frankenstein's car to keep him from winning and leaving Death Race, in exchange for her release papers, but that he was only supposed to lose and that he won the last race at the cost of his life. Jensen tricks Pachenko into crashing, then leaves his car and kills Pachenko by snapping his neck. Hennessey then unleashes the Dreadnought, a newly-built heavily armed 18-wheel tanker, to thin out the racers and boost ratings. The Dreadnought kills three more racers (Carson, Riggins, and 14K), leaving only Frankenstein and Joe alive. Jensen contacts Joe and the two work together to trigger a trap which destroys the Dreadnought, much to Hennessey's shock and anger.
Aware that he knows her angle, Hennessey asks Jensen to consider staying and racing as Frankenstein, in exchange for a life of comfort compared to attempting to put his old life back together, but he refuses. She orders Ulrich to plant a bomb under his car in case he wins, knowing that she can always find other people to impersonate Frankenstein. Knowing Hennessey has no intention of letting him go (and figuring out that no one will ever win five races, as sooner or later they all get killed), Jensen plans an escape and talks to Joe.
On the final race, Hennessey deliberately keeps Jensen from activating his weapons and allows Joe to activate his. Jensen, Case and Joe destroy and drive through a weakened wall, discovered by examining footage of the first race, and head for the bridge to the mainland. Hennessey activates the bomb, not knowing that it was removed and neutralized by Coach. The cars wreck the pursuing police cruisers, and a furious Hennessey dispatches attack helicopters. After the cars make it to the mainland and split up, the helicopters follow Jensen's car under Hennessey's orders. Case reveals that she had already received her release papers. She wears Frankenstein's costume, and Jensen jumps out of the car before the helicopters corner her. Case is captured while Joe and Jensen escape on a freight train.
Hennessey, although furious about the losses, is happy about re-capturing ""Frankenstein"" and the race's success. She opens a congratulatory present, only to find the bomb she had planted on Jensen's car. Coach, the sender, detonates the bomb, killing Hennessey and Ulrich along with the media room. He then turns to the camera and, breaking the fourth wall, states ""I love this game"".
With Hennessey and Ulrich's deaths, the future of Death Race becomes uncertain, and Jensen's name is cleared. Six months later, Joe and Jensen are shown working in Mexico as mechanics, and have been reunited with Case and Piper."
drama,"The film is set in a boys' school in Kurseong.[1] The story revolves around the life of school teacher Jayabrata Ray, played by Saswata Chatterjee, who has gone blind due to a sudden retinal disorder. He must now rely on his sense of hearing. After becoming irritable and helpless due to the situation, how he tries to stop the school being sold and how he tackles the situation himself (as his friends are turning foes) becomes the issue of the story.[4]"
drama,"A prologue introduces us to Dr. Austin Sloper (Albert Finney), a New York City doctor and resident of a large house on Washington Square whose wife dies in childbirth, leaving a daughter, Catherine (Jennifer Jason Leigh), to be raised by her father. As a child, Catherine is overweight, clumsy, and untalented; however, she is also a sweet, affectionate child. She adores her father and tries hard to please him, but he considers her a disappointment and treats her with ironic condescension. His thoughts are still much occupied with his beloved wife and with a promising son who died before Catherine was born, and he privately – but bitterly – resents his only surviving child for causing his wife's death.
Sloper invites Catherine's widowed aunt, the incurably foolish Lavinia Penniman (Maggie Smith), to live at Washington Square as a chaperone for Catherine. Catherine becomes a plain young woman who is painfully shy and inept in the social graces expected of someone of her class, despite her aunt's best efforts to instill them. Apart from her sweet nature, Catherine possesses only one obvious attraction: money. She earns $10,000 annually from her mother's estate, and will inherit considerably more when her father dies.
At a party celebrating her cousin Marian Almond's (Jennifer Garner) engagement, Catherine is introduced to a handsome, charming young man named Morris Townsend (Ben Chaplin). He is attentive, respectful, and – to Catherine's obvious astonishment – clearly interested in her. He begins paying regular calls at Washington Square. Before long, the susceptible Catherine falls headlong in love with him. Sloper, however, suspects Townsend of being a fortune hunter, with no intention of pursuing a career. Aunt Lavinia loves melodrama and gets a vicarious thrill from Townsend's attentions; and so, contrary to Sloper's wishes, she does all she can to encourage the relationship, even meeting Townsend secretly to collude with him.
The central conflict emerges when Townsend proposes marriage and Sloper refuses to give his consent, telling Catherine he will disinherit her if she marries without it. Catherine doesn't care about the money, but disobeying her father is another matter. She dutifully accompanies him on a Grand Tour of Europe, during which he exhorts her to give Townsend up; she refuses, and a frustrated Sloper speaks to her with such contempt that she finally admits to herself that he despises her. The realization pains her deeply, but also strengthens her resolve to separate herself from him and bestow all her love and loyalty on Townsend.
Catherine comes home, determined to marry. When she and Morris are reunited, she convinces him that her father will never relent. Shortly afterward, he backs out of the relationship. When Catherine tearfully confronts him, he admits his mercenary motives outright and leaves her.
Years pass. Catherine has refused at least one respectable offer of marriage. When her father's health fails, she nurses him through his last illness. During his final days, he asks her to promise never to marry Morris Townsend. With quiet dignity, she replies that while she seldom thinks of Townsend, she can't make such a promise. Sloper misunderstands her and alters his will, adding a codicil deploring his daughter's ongoing interest in unscrupulous young men and leaving most of his $300,000 fortune to charity. Catherine is left with only the house and the income from her mother. She isn't offended by the codicil; in fact, at the reading of the will, she laughs.
Some time later, Townsend reappears at her doorstep. Catherine, who is now running a daycare center in her house, talks to him briefly. She isn't angry, but she has no interest in renewing their relationship, and tells him so, quietly and firmly. He departs, leaving Catherine to reflect on the passion she once experienced."
comedy,"Joan Wilder is a successful but lonely romance novelist in New York City whose editor believes she is waiting to meet a romantic hero like the ones she writes about. Joan gets a call from her sister Elaine, who has been kidnapped by antiquities smugglers, cousins Ira and Ralph. As Joan leaves her apartment to meet her editor, Gloria, she is handed a letter containing a map, sent to her by her late brother-in-law, Eduardo. Returning to her apartment, she finds it ransacked and the apartment supervisor dead. Joan then receives a frantic phone call from Elaine (held at knife-point by Ira), who instructs Joan to go to Colombia with the map she received; it is Elaine's ransom.
Flying to Colombia, Joan is detoured from the rendezvous point by Colonel Zolo, the man who killed Elaine's husband, Eduardo. He tricks her into boarding the wrong bus, heading deep into the interior of the country instead of to the coastal city of Cartagena, where Elaine is being held. When Joan distracts the bus driver by asking where they are going, the bus crashes into a Jeep, wrecking both vehicles. As the rest of the passengers walk away, Joan is menaced by Zolo but is saved by the Jeep's owner, American exotic bird smuggler Jack T. Colton. For getting her out of the jungle and to a telephone, Joan promises to pay Jack $375 in traveler's cheques.
Jack and Joan travel the jungle while eluding the military police and Zolo, who wants the treasure map. After spending a night hiding in a marijuana smuggler's crashed C-47 aircraft, they encounter a drug lord named Juan, who is a big fan of Joan's novels and helps them escape from Zolo.
After a night of dancing and passion in a nearby town, Jack suggests to Joan that they find the treasure themselves before handing over the map. They follow the clues and locate an enormous emerald called El Corazón (""The Heart""). Unbeknownst to Jack and Joan, they used Ralph's car for the last leg of their journey while Ralph was sleeping in the back. Ralph takes the emerald from them at gunpoint. When Zolo appears, Jack steals the jewel back, but Jack and Joan are chased into a river and go over a waterfall. They end up on opposite sides of the raging river; Joan has the map, but Jack has the emerald. Jack directs Joan to Cartagena, promising that he will meet her there.
In Cartagena, Joan meets with Ira and Ralph, who are still holding Elaine, but the exchange is interrupted by Zolo and his men, who have also captured Jack. Jack surrenders the emerald to Zolo, but a crocodile bites off Zolo's hand and swallows it along with the emerald. As a gun battle takes place between Zolo's soldiers and Ira's gang, Joan and Elaine dash for safety, pursued by Zolo. Jack tries to stop the crocodile from escaping but lets it go when he sees that Joan is in danger. Zolo charges at Joan, who eventually dodges his wild knife slashes, knocking Zolo into the crocodile pit. Ira and his men escape, but Ralph is left behind as the authorities arrive. After a kiss, Jack dives into the water after the crocodile, leaving Joan behind with her sister.
Some time later, Joan is back in New York City, delivering a new manuscript based on her adventure to Gloria, who is moved to tears by the story and tells Joan she has another best-seller on her hands. Returning home, she finds Jack waiting for her in a sailboat named the Angelina, after the heroine of Joan's novels, and wearing boots made from the crocodile's skin. He explains the crocodile died from ingesting the emerald and he had sold it, using the money to buy the boat of his dreams. They go off together, planning to sail around the world."
action,"As noted above, Jackie Chan re-edited The Protector for the Hong-Kong and Asian markets, which involved filming an entire subplot, removing content he disapproved of, and dubbing the entire movie. Since the basic narrative is the same in both versions, and because the Hong Kong version uses much of the US footage, the following plot summary will simultaneously summarize the plots of both versions, where differences between the two versions will be noted.
New York police officers Billy Wong (Jackie Chan) and Michael Alexander (Patrick James Clarke) are patrolling a new New York City neighborhood one night. After their patrol, they decide to have a drink at a bar in celebration of Wong's 10th year in America. Wong goes to the bathroom while Alexander orders another round. Outside, a gang plans to rob the bar, unaware of the cops inside. They charge in busting the door and start roughing up the customers and gathering them by the till. Wong, still in the bathroom, has heard the commotion. He shoots dead one of the gangsters who breaks into the bathroom, and Michael shoots another gangster before he can kill Billy, but is then shot by the two remaining gang members. Wong kills the third gangster, and the fourth gangster escapes. Alexander tells Wong in his last words ""Get those fuckers, Billy."" Billy chases the last gang member to the marina across town. The gangster commandeers a yacht, so Billy forces a marina at gunpoint to give him the keys to the fastest boat. The captain orders Billy to let the harbor police catch the thief, but Billy refuses and speeds off. He calls an air unit who arrives on the scene and hoist him a line. Billy grabs onto the line, and lets his speedboat run into the gangster's boat, destroying both and killing the gangster.
Billy is scolded by his captain (Victor Arnold) for disobeying a direct order and for causing an explosion in the harbor, and is then demoted to crowd control. He goes to a fashion show party undercover, hosted by a Laura Shapiro, the daughter of a locally known gangster Martin Shapiro. At the party, he meets his new partner, Danny Garoni (Danny Aiello), who has also been demoted due to claims of police brutality. In the middle of the fashion show, masked gangsters armed with machine guns storm in and kidnap Laura Shapiro, and nobody knows why. They later learn that crime boss Harold Ko (Roy Chiao) and Martin Shapiro are suspected of smuggling drugs from Hong Kong to New York, and that Ko may have kidnapped Shapiro's daughter, Laura (Saun Ellis), and taken her to Hong Kong for ransom. The men get a lead – Shapiro's bodyguard Benny Garrucci(Bill ""Superfoot"" Wallace) has made several calls to a Hong Kong massage parlor.
While investigating the massage parlor, Wong and Garoni get massages, but Billy notices that the masseuses are trying to kill them. Billy and Garoni fight off the remaining massage parlor employees, before they are cornered and held at gunpoint by the parlor manager. The manager questions them, revealing that he knows they are cops, and then threatens to kill them. However, Garoni and Wong overpower him and his men, and leave the parlor.
Wong and Garoni go to see Lee Hing (Peter Yang) on his boat, and show him Tin Ho's coin to gain his trust. However, Hing is reluctant to give any information, noting that he retired. A man named Stan Jones (Kim Bass) gets on the boat, and warns Wong and Garoni they are being followed by the massage parlor manager and his men. Garoni, Jones and Wong easily get rid of the other gangsters, then Wong pursues the parlor manager to get more information, and almost catches him but fails. After witnessing this, Lee Hing agrees to help them, telling the cops to come back the next day after he gets information from various contacts about Ko. Wong and Garoni head back to their hotel, finding cash in a suitcase on the bed. Ko then calls them, telling them to take the money and leave Hong Kong at once. During the phone call, they are attacked by Ko's men, and the cops manage to kill them, but not before one of the gangsters sets off a grenade in a suicide attempt to kill them. They are taken to the police station in Hong Kong, where they are scolded by the Royal Hong Kong Police chief superintendent Whitehead (Richard Clarke) for the ruckus. Whitehead refuses to believe that Ko was behind the most recent attack, and tells the cops about Ko's charitable reputation in Hong Kong, informing them that at a press conference Ko will announce that all the winnings from a race horse he owns will be donated to charity. The next day, Garoni and Wong arrive at Ko's press conference (where Garucci is also present) and embarrass Ko by publicly showing the crowd his attempted bribe to them.
The next day, Wong, Jones, and Hing's daughter Soo Ling Moon Lee visit Lee Hing to see what he found, while Garoni follows Garrucci. But instead, they see that Lee Hing has been killed and his boat burned. At a loss for information, Wong and Moon Lee visit a fortune teller. The fortune teller cryptically informs them that Garruci has come to Hong Kong to make an exchange for Laura Shapiro. But he warns them that if they interfere, there will only be death and betrayal. Meanwhile, Garoni follows Garruci to a shipyard, and deduces that it's Ko's drug lab with Laura Shapiro inside. Wong, Garoni and Jones go to the drug lab. They destroy it and save Laura Shapiro in the process. Garoni, however, fails to escape with them after he is shot by Garrucci, and is held hostage unless Billy returns Laura to Ko. Wong decides to leave Laura Shapiro with Superintendent Whitehead.
Wong meets Ko and Garucci at the shipyard. He sees that Garoni is still alive, but then learns that Whitehead was on Ko's payroll the whole time, and is now holding Laura hostage (confirming the ""betrayal"" that the fortune teller cryptically warned about). As ""one last piece of entertainment"" for Ko, Garucci engages Wong in a one-on-one hand-to-hand fight, which Wong wins despite Ko's attempts to cheat and help Garucci. Then Wong dispatches Ko's guards and is eventually about to kill Ko, but Garrucci comes after Billy with a cut-off saw. In the ensuing fight, Garrucci is electrocuted by trying to slice open Billy's head, but misses and hits an electric panel instead. Jones and Soo Ling arrive to help untie Garoni and rescue Laura. Ko escapes in a helicopter, and Billy follows after him, but a guard blocks his way. Billy and the guard fight on a cargo lifter, where Wong prevails by eventually knocking the guard off to a long fall to his death. Garoni goes outside with the gang and kills a sniper with a 6-shot 20mm cannon. Wong eventually makes inside of a crane, and kills Ko when he drops the contents of the crane onto Ko's helicopter.
With Ko dead and Laura Shapiro saved, Billy and Danny are given a NYPD Medal of Honor.
The basic narrative of this version is the same as the US version. However, it begins to deviate after Garoni and Wong leave the massage parlour. Earlier in both versions, Wong mentions to Garoni that a Chinatown contact named Tin Ho gave him a coin as a ""calling card"". The day after he and Garoni investigate the massage parlor, Wong goes to a theater to look for a woman named May Fong Ho. However, the woman he is looking for goes by the name Sally, and Wong quickly deduces who she is among the dancers she's rehearsing with. Wong disturbs her during rehearsal by showing her Tin Ho's coin, but she denies having any friends from New York and tries to avoid Wong. Two men competing for Sally's affection try to fight Wong but are easily beaten before Wong pulls out his gun to end the fight. Wong and Sally then go to a restaurant, where she reveals that her father and another man were ""partners"" of Ko, until Ko killed her father. She changed her name in order to hide from Ko. She tells him to visit Lee Hing, the other partner of her father. However, unbeknownst to Sally and Wong, one of Ko's men has overheard the conversation.
After this scene, the movie stays the same as the US version until after Ko's press conference. In the Hong Kong version, after the press conference, Garucci tells Ko's bodyguard that he will wire in the money after checking on Laura, and says that the Shapiro's refusal to pay Ko's last shipment was a simple ""misunderstanding"". He expresses his concern about Garoni and Wong's knowledge of their drug operation, and that he'd like to do something about it. Ko's bodyguard tells him to ""come along tonight"".
Later that night, Lee Hing meets with his contact Wing (Hoi-Sang Lee) at a seafood warehouse to find information about Ko. Wing tells Hing that Laura is being held in shipping containers at the shipyard, and reveals that the shipping containers contain Ko's heroin factory. However, they are suddenly attacked by a group of men with ice picks and Benny Garucci. Wing easily beats up the rest of the men, but is overpowered and killed by Garucci in a fight.
Later, Wong meets with Hong's daughter Soo Ling to meet with Ko and his contact. They arrive at the warehouse, but find both Hing's and Wing's dead bodies. Realizing that Sally may be in danger, Wong visits her at her house, where he later realizes that Sally's substitute maid was working for Ko, and planted a bomb under Sally's bed. Wong diffuses the bomb. Minutes later, the massage parlor manager arrives to warn Sally that Ko is coming after her. Sally reveals that the manager is actually her uncle, and ""a family black sheep"". It had been revealed in an earlier scene (also exclusive to the Hong Kong Version) that the manager had been ""demoted to pimping"" after failing to kill Lee Hing, Garoni, and Wong on Hing's boat, and that they are aware of Wong's visit with Sally. After the uncle arrives, more men working for Ko (this time with guns) arrive to kill them, but they fail and retreat. Sally's uncle tells Wong that Laura is being held at a shipyard in a container. Afterwards, Wong helps Sally and her uncle find his contact in the United States to build a new life and start over.
After this scene, the movie is the same as the US version."
action,"In an unnamed city in a time period that resembles the 1950s (referred to within the film as 'another time, another place'), Ellen Aim (Diane Lane), lead singer of Ellen Aim and The Attackers, has returned home to give a concert. The Bombers, a biker gang, led by Raven Shaddock (Willem Dafoe), kidnap Ellen.
Witnessing this is Reva Cody (Deborah Van Valkenburgh), who hires her brother Tom (Michael Paré), an ex-soldier and Ellen's ex-boyfriend, to rescue her. Tom returns and checks out the local tavern, the Blackhawk. He is annoyed by a tomboyish ex-soldier named McCoy (Amy Madigan), a mechanic who ""could drive anything"" and who is good with her fists. They leave the bar and later Tom hires McCoy to be his driver. That night, Tom and Reva plan to rescue Ellen; Reva contacts Billy Fish (Rick Moranis), Ellen's manager and current boyfriend.
While Reva and McCoy go to a diner to wait for Billy, Tom acquires a cache of weapons, including a pump action shotgun, a revolver, and a lever action rifle. Tom and Billy meet at the diner and Tom agrees to the rescue for $10,000, and that Billy goes with Tom back into ""the Battery"" to get Ellen.
In the Battery, they visit Torchie's, where Billy used to book bands. They wait until nightfall under an overpass, watching bikers come and go. Raven has Ellen tied up in an upstairs bedroom. As Tom, Billy, and McCoy approach, Tom directs Billy to get the car and be out front in fifteen minutes.
McCoy enters and is stopped by one of the ""Bombers"". McCoy, pretending to like him, follows him to his special ""party room,"" close to where Raven is playing poker. McCoy knocks him out. Tom finds a window and, as a distraction, starts shooting the gas tanks on the gang's motorcycles; he then reaches Ellen's room, cuts her free and, with McCoy's help, escapes just as Billy arrives at the front door.
Riding in the convertible, Tom sends his crew off to meet at the Grant Street Overpass,and leaves to blow up the gas pumps outside a bar. Raven appears out of the flames and chaos to confront Tom. After learning who he is, Raven warns he will be back for Ellen and for him, too. Tom escapes on the one intact motorcycle. Billy is persuading Ellen the only reason Tom rescued her was for money. Tom returns as McCoy explains to Billy that Tom used to be Ellen's boyfriend.
Ellen follows Tom, while Billy and McCoy go back and forth once again about Tom and Ellen's love affair. Ellen and Tom also have an argument. When they all meet up on the street, they are in ""the Battery"". They return Ellen safely home where she initially rejects her home town as well as Tom. Later, he goes to the hotel where Ellen and Billy are staying to collect his reward. He only takes McCoy's cut and throws the rest back at Billy, scattering it. He then tells Ellen that there was a time he would've done anything for her but no more. As Tom storms out, Ellen follows and the two embrace in the rain.
Meanwhile, Raven informs Officer Ed Price (Lawson), the head of the police department, that he wants Tom to meet him alone. If he agrees he will leave the Richmond alone. Price tells Tom to get out of town. Tom, Ellen, and McCoy leave on a train. He knocks out Ellen and returns to town for a climactic fight with Raven. Tom defeats Raven and the defeated gang carries their leader away. Later that night, Tom says a final goodbye to Ellen and rides off with McCoy."
drama,"In 1987, Bartholomew ""Barley"" Scott Blair, a British publisher, is at a book fair in Moscow. With business friends he goes on a drunken retreat to a secluded dacha in the forest near Peredelkino. When their talk turns to politics, Barley finds himself talking boldly of patriotism and courage, of a new world order, and an end to Cold War tensions. One attentive listener, ""Goethe"", asks him privately whether he truly believes in the possibility of such a world. Barley convincingly says that he does.
Several months later in Moscow, a woman named Katya seeks Barley out at an audio fair, hoping to convince him to publish a manuscript for her friend Yakov which details Soviet nuclear capabilities and atomic secrets. The manuscript has a cover letter to Barley, saying that Yakov is trying to serve his country by hastening the day when democracy will come to the Soviet Union. Barley is in Lisbon. Katya gives the package to Niki Landau to forward it to Barley. When Landau is unable to locate Barley, the manuscript is sent to the Secret Intelligence Service (MI6). Their Russia House is more than interested in it and ask Barley to contact Yakov with a list of verifying questions to determine the document's authenticity. Barley is content to stay out of the matter, but he is manipulated into undertaking the mission. He grows fond of Katya and begins thinking of a way to get her out of the Soviet Union.
Over the course of several meetings with Katya and Yakov, Barley realises his nervous informant is very likely under KGB scrutiny. The CIA and MI6 decide one final meeting is needed to verify the authenticity of the data, but Yakov is suddenly ""hospitalized"" due to purported exhaustion. In a secure phone call, Yakov tells Katya through code that he has been taken and that she is in danger. Barley and Katya realise that any further meeting is merely a KGB scheme to draw them out into the open.
Barley receives a message that he must bring ""a final and exhaustive"" list of questions on Soviet research. He makes contact with one of his Soviet publishing associates who uses his connections in the KGB to arrange a meeting with Yakov's handlers. Although the CIA and MI6 set up a major surveillance operation at the meeting site, Barley goes missing along with the last set of questions, presumably arrested.
More than a year later, after several unconfirmed sightings in Moscow, Barley shows up in Portugal, offering no explanation for his absence. Neither the CIA nor MI6 are inclined to interrogate him, reasoning that the KGB has already worn him down to get the information they needed. They are resigned to the fact that the ""manuscript"" had been KGB bait all along. The truth, however, is that Barley traded the questions for the freedom of Katya and her family. The philosophical Barley reasons that governments are not the only ones who can manipulate and betray, and some things are more important than the games that spies play with others' lives."
drama,"The film attempts to touch the nostalgia of childhood. The story of the film revolves around an urban couple Bimal and Meera and a broken window of Bimal's school's classroom. Bimal plans to visit his school where he spent many years of his childhood. When he visits the school, he finds the building in a very ill condition. He specially notices one broken window of a classroom corner where he used to sit daily and look outside through the window. Though Bimal has little money, he wants to donate something to school authority to repair that window. Since Bimal does not have sufficient money, he uses the money from his fiancée Meera's savings without informing her. When Bimal presents the window to the school authority, they reject it. Conditions get worse when Meera learns about it and she breaks relation with Bimal.[1][4]"
comedy,"Jim Dixon is a young lecturer in history at a redbrick university, who manages to offend his head of department and create various disastrous incidents. When he eventually delivers a lecture drunk, he feels forced to resign. But just as his career seems over, he is offered a job in London, and when he learns that the girl of his dreams is on her way to the railway station, he chases after her in the professor's old car. The professor's whole family chases after, and arrives at the station just in time to see Jim and the girl disappear on the train to London."
comedy,"Joe Gower is a likable librarian who glides around his job on roller skates. He has a strict boss, Mr. Pepper, and a good friend who's a cop, Abe Washington.
A mistake he makes inadvertently messes up Washington's undercover work. Joe now owes him a favor, but is unprepared for what Washington wants. A police charity event needs officers to dress in drag, but because Washington wants no part of that, he asks Joe to take his place.
A reluctant Joe decides to go through with the audition, expecting to be so bad that he won't be cast in the show. When he goes there and meets an attractive policewoman, Rachel Wareham, it changes everything. Joe not only does the show, he continues to keep from Rachel the fact that he's not a real cop.
As luck would have it, Joe finds himself in the midst of actual crimes. He encounters criminals, like bank robber Mickey, and is caught in a crossfire as to which would be worse, being exposed as someone impersonating a police officer or being shot by a crook."
horror,"In a typical Tokyo high school a perpetually teenage vampire named Monami (Yukie Kawamura) falls for her classmate, Mizushima (Takumi Saito), who happens to already be the reluctant boyfriend to the vice principal/science professor's daughter, Keiko (Eri Otoguro), a leader of a Sweet Lolita gang. The ensuing love triangle leads Keiko to seek the assistance of her father who, unbeknown to his daughter, moonlights as a Kabuki-clad mad scientist with the school nurse as his assistant. The pair experiment on students in the school basement hoping to discover the secret of reanimating corpses (akin to the work of Victor Frankenstein). Their hopes are answered when they discover a solution of Monami's blood holds the properties to bring life to dead body parts and inanimate objects.
The story begins to unfold after Mizushima carelessly accepts a honmei choco spiked with Monami's blood, causing him to become a half vampire. When Keiko discovers their secret, she attacks Monami but accidentally throws herself off the school roof in the process. Her premature death leads to her father using the blood solution to transform her into a vicious Frankenstein's monster determined to get revenge against Monami. From then on Monami and Keiko battle each other in the pursuit of winning Mizushima's heart, regardless of his feelings towards either of them. Monami ultimately kills Keiko by using her powers to turn droplets of her blood into spikes that rip the flesh off the latter's body and leaves her skeleton impaled at the top of Tokyo Tower. At the end Keiko's father turns himself in a Franken Advanced Composite Life Form with use of Monami's blood, and it is revealed that Igor was turned into a vampire by Monami a hundred years ago, and that Mizushima is only one in a long succession of boyfriends."
comedy,"A small-time cannabis dealer named David Clark, who lives in Denver, Colorado, is robbed of his money and weed stash; some of which he owes to his wealthy drug lord supplier Brad Gurdlinger. After David is brought to him, Gurdlinger forces David to smuggle a ""smidge"" of marijuana from Mexico as a solution to clear his debt. Realizing that one man attempting to get through customs is too suspicious, he hires his stripper neighbor stage-named Rose, a teenage runaway and petty thief named Casey, and his eighteen-year-old neighbor Kenny, to pose as a bogus family called ""the Millers."" When the Millers reach the compound, they find out that the amount of marijuana they were picking up is not ""a smidge"" but actually two tons. Because of the extra load of the marijuana on the RV that they are driving, one of the radiator hoses breaks while going up a steep incline. A family they had met at the border, the Fitzgeralds, consisting of Don, Edith, and their teenage daughter Melissa, catch up to them and tow the Millers' RV to a garage. En route to the garage, David learns that Don Fitzgerald is a DEA agent after finding his badge and gun in the glove compartment.
The marijuana turns out to be stolen from Pablo Chacón's cartel where Gurdlinger had David pose as an agent of Chacon. The next day, when the Millers return to the garage to collect the RV, the mechanic is found tied-up and gagged with duct tape in his office and Chacón and his henchman One-Eye are waiting for them and prepare to execute the family. They immediately tell Chacón that they are not a real family and that they did not know they were stealing from him. Rose is given a chance to prove that she is a stripper by dancing, and when she gets close, turns a steam vent onto Chacón, allowing the Millers to escape in the RV with Kenny behind the wheel. Due to Kenny's erratic driving, the RV veers off the highway and a Mexican redknee tarantula, hiding in a bowl of fruit, crawls up Kenny's leg and bites his testicle.
Kenny has a severe allergic reaction to the bite, and the Millers head to the hospital near a carnival for 4th of July celebrations. This further delays the delivery of the smuggled contraband. During their wait, David and Rose begin to bond and Rose reveals her real name to be Sarah (""with an H""). The two of them scold Casey for leaving with a strange boy, Scotty P; which leaves Casey feeling amused and happy for the attention she didn't receive from her real parents, who neglected her.
David renegotiates with Gurdlinger for a fee of $500,000 on the condition that it arrives that night. When Kenny is finally released from the hospital, David rushes him to the RV in a wheelchair and accidentally tips him over. In the ensuing argument, David inadvertently reveals how much he is getting paid, in comparison to how little he offered to pay each of the others. Casey, Sarah, and Kenny are left in disgust by the revelation, and so David leaves them behind at the local carnival.
Shortly after leaving, David regrets abandoning them after hearing ""Waterfalls"" by TLC on the radio and returns to the carnival. Casey confides in Scotty about how she felt like she was actually part of a real family. Scotty tries to sexually harass Casey, but is thwarted by Sarah and Kenny. David then arrives at the carnival, begging them to come back with him and offering each a full share of the profits. On their way to the RV, they encounter Edith and Melissa. In the ensuing conversation between the Millers and the Fitzgeralds, Kenny blurts out that they are smuggling cannabis. One-Eye appears and is about to shoot everyone, but Don comes out of his motor home and knocks him out cold. Chacón then appears from around the corner, with Melissa held at gunpoint and is about to kill them all; but is momentarily distracted by 4th of July firework display. David and Kenny then subdue him while he is distracted. Melissa and Kenny (with a newfound confidence) kiss, as do David and Sarah. Don arrests Chacón, but lets the Millers leave.
David delivers the drugs to Gurdlinger, who tells him he is late and that their deal is off, but then admits that he had never intended to pay him at all. DEA agents interrupt the meeting, arresting Gurdlinger, revealing that David grassed them up. Don, the agent in charge of the raid, tells David that he will have to be placed in the witness protection program until the trials of Gurdlinger and Chacón are finished. He then adds that anyone who was a witness to the crime will be put into protection, which pleases David. The Millers are then seen together in a suburban house with several marijuana plants growing in the back garden."
